Feature Name,Description
id,A unique LC assigned ID for the loan listing.
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
funded_amnt,The total amount committed to that loan at that point in time.
int_rate,Interest Rate on the loan
installment,The monthly payment owed by the borrower if the loan originates.
grade,LC assigned loan grade
sub_grade,LC assigned loan subgrade
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
annual_inc,The self-reported annual income provided by the borrower during registration.
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_d,The month which the loan was funded
loan_status,"Current status of the loan: [""Fully Paid"", ""Charged Off""]"
purpose,A category provided by the borrower for the loan request. 
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,The state provided by the borrower in the loan application
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,The month the borrower's earliest reported credit line was opened
fico_range_low,The lower boundary range the borrower’s FICO at loan origination belongs to.
fico_range_high,The upper boundary range the borrower’s FICO at loan origination belongs to.
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,The number of months since the borrower's last delinquency.
open_acc,The number of open credit lines in the borrower's credit file.
pub_rec,Number of derogatory public records
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,The total number of credit lines currently in the borrower's credit file
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections
acc_now_delinq,The number of accounts on which the borrower is now delinquent.
chargeoff_within_12_mths,Number of charge-offs within 12 months
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.
pub_rec_bankruptcies,Number of public record bankruptcies
tax_liens,Number of tax liens
year,The year that the loan is issued
early_default,The borrower defaulted within 12 months with 1 being early defaulted and 0 othewise
return,The loan return
