id,loan_amnt,funded_amnt,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,year,early_default,return
91120503,16000,16000,0.08990000000000001,508.73,B,B1,4 years,MORTGAGE,125000.0,Not Verified,Oct-2016,Fully Paid,debt_consolidation,333xx,FL,22.52,1,Jul-1989,695,699,1,13.0,17,0,40962,0.54,34,0,0,0,0,0,0,2016,0,0.1352106437468126
31888143,7475,7475,0.1629,263.88,D,D2,5 years,MORTGAGE,45000.0,Not Verified,Oct-2014,Fully Paid,other,211xx,MD,19.79,3,Aug-1997,660,664,1,13.0,9,0,8851,0.731,25,0,0,0,0,0,0,2014,0,0.2707558507380869
41000993,21600,21600,0.0999,696.87,B,B3,4 years,RENT,61980.0,Source Verified,Feb-2015,Fully Paid,credit_card,479xx,IN,17.75,0,Jan-2006,675,679,0,,9,0,19975,0.74,11,0,0,0,0,0,0,2015,0,0.1608945922471574
85620143,7000,7000,0.1049,227.49,B,B3,10+ years,MORTGAGE,28000.0,Source Verified,Jul-2016,Fully Paid,credit_card,325xx,FL,18.69,0,May-1992,660,664,1,74.0,10,1,5377,0.237,21,0,0,0,0,1,0,2016,0,0.169330227558
86934641,2500,2500,0.08990000000000001,79.49,B,B1,2 years,RENT,13000.0,Not Verified,Aug-2016,Fully Paid,credit_card,806xx,CO,18.47,0,Sep-2007,710,714,0,,13,0,1728,0.053,21,0,0,0,0,0,0,2016,0,0.11802503669136
46407357,26575,26575,0.1952,981.14,E,E3,8 years,MORTGAGE,70000.0,Verified,Apr-2015,Charged Off,debt_consolidation,276xx,NC,29.58,0,Apr-2003,685,689,0,,28,0,66215,0.585,46,0,0,0,0,0,0,2015,1,-0.8839533396048918
91474077,25000,25000,0.1279,839.83,C,C1,7 years,RENT,65000.0,Verified,Oct-2016,Charged Off,debt_consolidation,936xx,CA,18.72,0,Jul-1998,675,679,0,56.0,8,0,21298,0.74,13,0,0,0,0,0,0,2016,0,-0.5410348
92429829,4800,4800,0.0824,150.95,B,B1,10+ years,MORTGAGE,37000.0,Verified,Nov-2016,Fully Paid,credit_card,011xx,MA,10.35,0,Jul-2005,705,709,0,42.0,8,0,182,0.008,19,0,0,0,0,0,0,2016,0,0.05352178289985421
29063900,8000,8000,0.1249,267.6,B,B5,2 years,MORTGAGE,60000.0,Source Verified,Oct-2014,Charged Off,debt_consolidation,605xx,IL,8.82,0,Nov-1998,660,664,3,,8,1,4397,0.338,18,0,0,0,0,1,0,2014,0,-0.1971999999999999
63927948,21000,21000,0.1099,687.42,B,B4,4 years,MORTGAGE,78000.0,Source Verified,Nov-2015,Fully Paid,home_improvement,235xx,VA,3.86,3,Dec-1986,675,679,2,8.0,18,0,7207,0.09699999999999999,50,0,0,0,0,0,0,2015,0,0.1778109136403809
68202706,5000,5000,0.1399,170.87,C,C4,3 years,OWN,28000.0,Verified,Jan-2016,Fully Paid,debt_consolidation,721xx,AR,33.05,0,Jun-2000,685,689,0,27.0,8,0,63882,0.512,22,0,0,0,0,0,0,2016,0,0.2282655039420001
